Project URL,Vulnerability IDs,Used in the study,CVE ID,CWE Type,human_patch,CVE url
https://github.com/netty/netty,Netty-1,Yes,CVE-2019-16869,CWE-444,https://github.com/netty/netty/commit/39cafcb05c99f2aa9fce7e6597664c9ed6a63a95,https://nvd.nist.gov/vuln/detail/CVE-2019-16869
https://github.com/netty/netty,Netty-2,Yes,CVE-2019-20444,CWE-444,https://github.com/netty/netty/commit/a7c18d44b46e02dadfe3da225a06e5091f5f328e,https://nvd.nist.gov/vuln/detail/CVE-2019-20444
https://github.com/jenkinsci/jenkins,Jenkins-1,Yes,CVE-2017-2600,"CWE-200,CWE-325",https://github.com/jenkinsci/jenkins/commit/0f92cd08a19207de2cceb6a2f4e3e9f92fdc0899,https://nvd.nist.gov/vuln/detail/CVE-2017-2600
https://github.com/jenkinsci/jenkins,Jenkins-2,Yes,CVE-2017-2606,CWE-200,https://github.com/jenkinsci/jenkins/commit/09cfbc9cd5c9df7c763bc976b7f5c51266b63719,https://nvd.nist.gov/vuln/detail/CVE-2017-2606
https://github.com/jenkinsci/jenkins,Jenkins-3,Yes,CVE-2017-2609,CWE-200,https://github.com/jenkinsci/jenkins/commit/13905d8224899ba7332fe9af4e330ea96a2ae319,https://nvd.nist.gov/vuln/detail/CVE-2017-2609
https://github.com/HubSpot/jinjava,Jinjava-1,Yes,CVE-2018-18893,unknown,https://github.com/HubSpot/jinjava/commit/c13927db0fb7bb3b567469f125be8000f8cbf601,https://nvd.nist.gov/vuln/detail/CVE-2018-18893
https://github.com/halo-dev/halo,Halo-1,Yes,CVE-2020-21522,CWE-22,https://github.com/halo-dev/halo/commit/d59877a9ce82b53ec27c7f012a5703280e2cfd4f,https://nvd.nist.gov/vuln/detail/CVE-2020-21522
https://github.com/square/retrofit,Retrofit-1,Yes,CVE-2018-1000844,CWE-611,https://github.com/square/retrofit/commit/97057aaae42e54bfbee8acfa8af7dcf37e812342,https://nvd.nist.gov/vuln/detail/CVE-2018-1000844
https://github.com/quartz-scheduler/quartz,Quartz-1,Yes,CVE-2019-13990,CWE-611,https://github.com/quartz-scheduler/quartz/commit/c71ebec8ad17580a605d91acba6bc0a230144cc6,https://nvd.nist.gov/vuln/detail/CVE-2019-13990
https://github.com/vaadin/flow,Flow-1,Yes,CVE-2021-33604,CWE-172,https://github.com/vaadin/flow/commit/ca12a54,https://nvd.nist.gov/vuln/detail/CVE-2021-33604
https://github.com/vaadin/flow,Flow-2,Yes,CVE-2021-31412,"CWE-668, CWE-1295",https://github.com/vaadin/flow/commit/e4cf42f11ce79a309025611295ffafac252ed247,https://nvd.nist.gov/vuln/detail/CVE-2021-31412
https://github.com/bcgit/bc-java,BC-Java-1,Yes,CVE-2016-1000338,CWE-347,https://github.com/bcgit/bc-java/commit/b0c3ce99d43d73a096268831d0d120ffc89eac7f,https://nvd.nist.gov/vuln/detail/CVE-2016-1000338
https://github.com/OWASP/json-sanitizer,Json-sanitizer-1,Yes,CVE-2020-13973,CWE-79,https://github.com/OWASP/json-sanitizer/commit/f3512bab078af3f5c533dacc2d410add8c0c1124,https://nvd.nist.gov/vuln/detail/CVE-2020-13973
https://github.com/ratpack/ratpack,Ratpack-1,Yes,CVE-2019-17513,CWE-74,https://github.com/ratpack/ratpack/commit/efb910d38a96494256f36675ef0e5061097dd77d,https://nvd.nist.gov/vuln/detail/CVE-2019-17513
https://github.com/apache/pulsar,Pulsar-1,Yes,CVE-2021-41571,CWE-20,https://github.com/apache/pulsar/commit/9bfb3dba7c13e8250e1002efdeb39eec56f7e2da,https://nvd.nist.gov/vuln/detail/CVE-2021-41571
https://github.com/xjodoin/torpedoquery,TorpedoQuery-1,No,CVE-2019-11343,NVD-CWE-noinfo,https://github.com/xjodoin/torpedoquery/commit/3c20b874fba9cc2a78b9ace10208de1602b56c3f,https://nvd.nist.gov/vuln/detail/CVE-2019-11343
https://github.com/narkisr/nmap4j,Nmap4j-1,No,CVE-2018-17228,CWE-78,https://github.com/narkisr/nmap4j/commit/06b58aa3345d2f977553685a026b93e61f0c491e,https://nvd.nist.gov/vuln/detail/CVE-2018-17228
https://github.com/pac4j/pac4j,Pac4j-1,No,CVE-2021-44878,CWE-347,https://github.com/pac4j/pac4j/commit/22b82ffd702a132d9f09da60362fc6264fc281ae,https://nvd.nist.gov/vuln/detail/CVE-2021-44878
https://github.com/geosolutions-it/jai-ext,JAI-EXT-1,No,CVE-2022-24816,CWE-94,https://github.com/geosolutions-it/jai-ext/commit/cb1d6565d38954676b0a366da4f965fef38da1cb,https://nvd.nist.gov/vuln/detail/CVE-2022-24816
https://github.com/FasterXML/jackson-modules-java8,Jackson-Modules-1,No,CVE-2018-1000873,CWE-20,https://github.com/FasterXML/jackson-modules-java8/commit/f29e03e21eb6ca0c11cda34cf511d245711a70ec,https://nvd.nist.gov/vuln/detail/CVE-2018-1000873
https://github.com/ctripcorp/apollo,Apollo-1,No,CVE-2020-15170,CWE-20; NVD-CWE-Other;,https://github.com/apolloconfig/apollo/commit/6ff6ddd47f9be87ad77a6a169cc46996cc5d89dd,https://nvd.nist.gov/vuln/detail/CVE-2020-15170
https://github.com/igniterealtime/Openfire,Openfire-1,No,CVE-2019-18394,CWE-918,https://github.com/igniterealtime/Openfire/commit/e6a9db94f684056ced0d5e5a4291c89488fbeecc,https://nvd.nist.gov/vuln/detail/CVE-2019-18394
https://github.com/jooby-project/jooby,Jooby-1,No,CVE-2019-15477,CWE-79,https://github.com/jooby-project/jooby/commit/27b4af283de1a2c2a6b0530039b46eef75ddf655,https://nvd.nist.gov/vuln/detail/CVE-2019-15477
https://github.com/NationalSecurityAgency/emissary,Emissary-1,No,CVE-2021-32634,CWE-502,https://github.com/NationalSecurityAgency/emissary/commit/40260b1ec1f76cc92361702cc14fa1e4388e19d7,https://nvd.nist.gov/vuln/detail/CVE-2021-32634
https://github.com/perwendel/spark,Spark-1,No,CVE-2016-9177,CWE-22,https://github.com/perwendel/spark/commit/efcb46c710e3f56805b9257a63d1306882f4faf9,https://nvd.nist.gov/vuln/detail/CVE-2016-9177
https://github.com/xwiki/xwiki-commons,Xwiki-commons-1,No,CVE-2022-24898,CWE-611,https://github.com/xwiki/xwiki-commons/commit/947e8921ebd95462d5a7928f397dd1b64f77c7d5,https://nvd.nist.gov/vuln/detail/CVE-2022-24898
https://github.com/yahoo/elide,Elide-1,No,CVE-2020-5289,CWE-552; CWE-285,https://github.com/yahoo/elide/commit/7239e47eca00226550300e5e67cdabbf12145ef0,https://nvd.nist.gov/vuln/detail/CVE-2020-5289
https://github.com/gocd/gocd-ldap-authentication-plugin,GoCD-1,No,CVE-2022-24832,CWE-74,https://github.com/gocd/gocd-ldap-authentication-plugin/commit/87fa7dac5d899b3960ab48e151881da4793cfcc3,https://nvd.nist.gov/vuln/detail/CVE-2022-24832
https://github.com/bcgit/bc-java,BC-Java-2,No,CVE-2016-1000344,CWE-310,https://github.com/bcgit/bc-java/commit/9385b0ebd277724b167fe1d1456e3c112112be1f,https://nvd.nist.gov/vuln/detail/CVE-2016-1000344
